
--------------------
r=6, d=8, c=1, t=3

m=75, i3	 success=992
m=76, i4	 success=992
m=77, i5	 success=991
m=78, i6	 success=991
m=79, i7	 success=993
m=80, i8	 success=991
m=81, i9	 success=985
m=82, i10	 success=990
m=83, i11	 success=992
m=84, i12	 success=987
m=85, i13	 success=995
m=86, i14	 success=987
m=87, i15	 success=984
m=88, i16	 success=989
m=89, i17	 success=989
m=90, i18	 success=994
m=91, i19	 success=998
m=92, i20	 success=999
m=93, i21	 success=999
m=94, i22	 success=998
m=95, i23	 success=998
m=96, i24	 success=1000
m=97, i25	 success=1000
m=98, i26	 success=1000
m=99, i27	 success=1000
m=100, i28	 success=1000
m=101, i29	 success=1000
m=102, i30	 success=1000
m=103, i31	 success=1000
m=104, i32	 success=1000
m=105, i33	 success=1000
m=106, i34	 success=1000
m=107, i35	 success=1000
m=108, i36	 success=1000
m=109, i37	 success=1000
m=110, i38	 success=1000
m=111, i39	 success=1000
m=112, i40	 success=1000
m=113, i41	 success=1000
m=114, i42	 success=1000
m=115, i43	 success=1000
m=116, i44	 success=1000
m=117, i45	 success=1000
m=118, i46	 success=1000
m=119, i47	 success=1000
m=120, i48	 success=1000

--------------------
r=6, d=8, c=1, t=4

m=67, i3	 success=925
m=68, i4	 success=925
m=69, i5	 success=962
m=70, i6	 success=986
m=71, i7	 success=996
m=72, i8	 success=996
m=73, i9	 success=1000
m=74, i10	 success=1000
m=75, i11	 success=1000
m=76, i12	 success=1000
m=77, i13	 success=1000
m=78, i14	 success=1000
m=79, i15	 success=1000
m=80, i16	 success=1000
m=81, i17	 success=1000
m=82, i18	 success=1000
m=83, i19	 success=1000
m=84, i20	 success=1000
m=85, i21	 success=1000
m=86, i22	 success=1000
m=87, i23	 success=1000
m=88, i24	 success=1000
m=89, i25	 success=1000
m=90, i26	 success=1000
m=91, i27	 success=1000
m=92, i28	 success=1000
m=93, i29	 success=1000
m=94, i30	 success=1000
m=95, i31	 success=1000
m=96, i32	 success=1000
m=97, i33	 success=1000
m=98, i34	 success=1000
m=99, i35	 success=1000
m=100, i36	 success=1000
m=101, i37	 success=1000
m=102, i38	 success=1000
m=103, i39	 success=1000
m=104, i40	 success=1000
m=105, i41	 success=1000
m=106, i42	 success=1000
m=107, i43	 success=1000
m=108, i44	 success=1000
m=109, i45	 success=1000
m=110, i46	 success=1000
m=111, i47	 success=1000
m=112, i48	 success=1000

--------------------
r=6, d=8, c=1, t=5

m=63, i3	 success=962
m=64, i4	 success=993
m=65, i5	 success=997
m=66, i6	 success=996
m=67, i7	 success=997
m=68, i8	 success=998
m=69, i9	 success=1000
m=70, i10	 success=999
m=71, i11	 success=1000
m=72, i12	 success=1000
m=73, i13	 success=1000
m=74, i14	 success=1000
m=75, i15	 success=1000
m=76, i16	 success=1000
m=77, i17	 success=1000
m=78, i18	 success=1000
m=79, i19	 success=1000
m=80, i20	 success=1000
m=81, i21	 success=1000
m=82, i22	 success=1000
m=83, i23	 success=1000
m=84, i24	 success=1000
m=85, i25	 success=1000
m=86, i26	 success=1000
m=87, i27	 success=1000
m=88, i28	 success=1000
m=89, i29	 success=1000
m=90, i30	 success=1000
m=91, i31	 success=1000
m=92, i32	 success=1000
m=93, i33	 success=1000
m=94, i34	 success=1000
m=95, i35	 success=1000
m=96, i36	 success=1000
m=97, i37	 success=1000
m=98, i38	 success=1000
m=99, i39	 success=1000
m=100, i40	 success=1000
m=101, i41	 success=1000
m=102, i42	 success=1000
m=103, i43	 success=1000
m=104, i44	 success=1000
m=105, i45	 success=1000
m=106, i46	 success=1000
m=107, i47	 success=1000
m=108, i48	 success=1000

--------------------
r=6, d=8, c=1, t=6

m=60, i3	 success=944
m=61, i4	 success=972
m=62, i5	 success=976
m=63, i6	 success=997
m=64, i7	 success=1000
m=65, i8	 success=1000
m=66, i9	 success=1000
m=67, i10	 success=1000
m=68, i11	 success=1000
m=69, i12	 success=1000
m=70, i13	 success=1000
m=71, i14	 success=1000
m=72, i15	 success=1000
m=73, i16	 success=1000
m=74, i17	 success=1000
m=75, i18	 success=1000
m=76, i19	 success=1000
m=77, i20	 success=1000
m=78, i21	 success=1000
m=79, i22	 success=1000
m=80, i23	 success=1000
m=81, i24	 success=1000
m=82, i25	 success=1000
m=83, i26	 success=1000
m=84, i27	 success=1000
m=85, i28	 success=1000
m=86, i29	 success=1000
m=87, i30	 success=1000
m=88, i31	 success=1000
m=89, i32	 success=1000
m=90, i33	 success=1000
m=91, i34	 success=1000
m=92, i35	 success=1000
m=93, i36	 success=1000
m=94, i37	 success=1000
m=95, i38	 success=1000
m=96, i39	 success=1000
m=97, i40	 success=1000
m=98, i41	 success=1000
m=99, i42	 success=1000
m=100, i43	 success=1000
m=101, i44	 success=1000
m=102, i45	 success=1000
m=103, i46	 success=1000
m=104, i47	 success=1000
m=105, i48	 success=1000

--------------------
r=6, d=8, c=1, t=7

m=59, i3	 success=931
m=60, i4	 success=985
m=61, i5	 success=996
m=62, i6	 success=997
m=63, i7	 success=1000
m=64, i8	 success=1000
m=65, i9	 success=1000
m=66, i10	 success=1000
m=67, i11	 success=1000
m=68, i12	 success=1000
m=69, i13	 success=1000
m=70, i14	 success=1000
m=71, i15	 success=1000
m=72, i16	 success=1000
m=73, i17	 success=1000
m=74, i18	 success=1000
m=75, i19	 success=1000
m=76, i20	 success=1000
m=77, i21	 success=1000
m=78, i22	 success=1000
m=79, i23	 success=1000
m=80, i24	 success=1000
m=81, i25	 success=1000
m=82, i26	 success=1000
m=83, i27	 success=1000
m=84, i28	 success=1000
m=85, i29	 success=1000
m=86, i30	 success=1000
m=87, i31	 success=1000
m=88, i32	 success=1000
m=89, i33	 success=1000
m=90, i34	 success=1000
m=91, i35	 success=1000
m=92, i36	 success=1000
m=93, i37	 success=1000
m=94, i38	 success=1000
m=95, i39	 success=1000
m=96, i40	 success=1000
m=97, i41	 success=1000
m=98, i42	 success=1000
m=99, i43	 success=1000
m=100, i44	 success=1000
m=101, i45	 success=1000
m=102, i46	 success=1000
m=103, i47	 success=1000
m=104, i48	 success=1000
