
=============================================

n=8
Test 1: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 3, 4, 0, 2, 5, 7, 1, 6 ]
[ 0, 5, 3, 6, 2, 7, 4, 1 ]
[ 7, 1, 0, 5, 2, 4, 3, 6 ]
Test 2: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 5, 4, 0, 6, 3, 7, 2, 1 ]
[ 1, 4, 7, 2, 6, 3, 5, 0 ]
[ 3, 1, 6, 2, 5, 0, 4, 7 ]
Test 3: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 5, 2, 0, 6, 3, 4, 1, 7 ]
[ 6, 4, 0, 1, 5, 3, 2, 7 ]
[ 4, 5, 0, 7, 1, 6, 2, 3 ]
Test 4: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 0, 5, 3, 6, 2, 7, 4, 1 ]
[ 0, 7, 1, 4, 3, 6, 5, 2 ]
[ 1, 2, 7, 3, 6, 0, 4, 5 ]
Test 5: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 3, 4, 0, 2, 5, 7, 1, 6 ]
[ 0, 7, 1, 4, 3, 6, 5, 2 ]
[ 0, 5, 3, 6, 2, 7, 4, 1 ]
Test 6: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 7, 2, 3, 5, 1, 0, 4, 6 ]
[ 3, 1, 6, 2, 5, 0, 4, 7 ]
[ 1, 2, 7, 3, 6, 0, 4, 5 ]
Test 7: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 5, 3, 6, 7, 1, 0, 4, 2 ]
[ 5, 2, 4, 1, 7, 0, 3, 6 ]
[ 1, 3, 7, 2, 5, 0, 6, 4 ]
Test 8: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 5, 3, 7, 1, 0, 6, 4, 2 ]
[ 0, 5, 3, 6, 2, 7, 4, 1 ]
[ 3, 4, 0, 2, 5, 7, 1, 6 ]
Test 9: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 6, 1, 5, 2, 0, 7, 4, 3 ]
[ 3, 1, 6, 2, 5, 0, 4, 7 ]
[ 7, 2, 5, 6, 3, 0, 4, 1 ]
Test 10: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 7, 1, 4, 3, 6, 0, 2, 5 ]
[ 0, 6, 1, 7, 3, 5, 4, 2 ]
[ 1, 4, 0, 3, 6, 5, 2, 7 ]
Test 11: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 1, 4, 0, 3, 6, 5, 2, 7 ]
[ 3, 2, 6, 1, 7, 0, 5, 4 ]
[ 5, 2, 0, 6, 3, 4, 1, 7 ]
Test 12: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 5, 4, 0, 6, 3, 7, 2, 1 ]
[ 0, 5, 3, 6, 2, 7, 4, 1 ]
[ 2, 5, 6, 3, 4, 1, 7, 0 ]
Test 13: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 2, 4, 6, 0, 1, 7, 3, 5 ]
[ 6, 1, 7, 5, 2, 0, 4, 3 ]
[ 1, 4, 7, 2, 6, 3, 5, 0 ]
Test 14: size=8
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 2, 1, 5, 3, 6, 0, 7, 4 ]
[ 0, 7, 2, 5, 1, 6, 4, 3 ]
Test 15: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 7, 4, 0, 2, 6, 1, 3, 5 ]
[ 4, 6, 0, 5, 2, 7, 3, 1 ]
[ 6, 3, 0, 7, 1, 4, 2, 5 ]
Test 16: size=8
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 6, 1, 2, 7, 3, 0, 4, 5 ]
[ 2, 5, 6, 3, 4, 1, 7, 0 ]
Test 17: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 2, 4, 6, 0, 1, 7, 3, 5 ]
[ 2, 1, 5, 3, 6, 0, 7, 4 ]
[ 3, 4, 0, 2, 5, 7, 1, 6 ]
Test 18: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 0, 7, 2, 5, 1, 6, 4, 3 ]
[ 1, 4, 5, 0, 3, 6, 2, 7 ]
[ 5, 3, 6, 7, 1, 0, 4, 2 ]
Test 19: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 2, 4, 5, 3, 7, 1, 6, 0 ]
[ 3, 4, 7, 0, 2, 5, 1, 6 ]
[ 1, 4, 0, 3, 6, 5, 2, 7 ]
Test 20: size=8
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 2, 5, 6, 3, 4, 1, 7, 0 ]
[ 6, 1, 2, 7, 3, 0, 4, 5 ]
Test 21: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 3, 4, 6, 1, 5, 2, 7, 0 ]
[ 2, 3, 5, 1, 7, 0, 4, 6 ]
[ 7, 4, 0, 5, 2, 6, 1, 3 ]
Test 22: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 2, 3, 5, 1, 7, 0, 4, 6 ]
[ 0, 5, 2, 4, 1, 7, 6, 3 ]
[ 2, 4, 5, 3, 7, 1, 6, 0 ]
Test 23: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 6, 3, 0, 7, 1, 4, 2, 5 ]
[ 5, 3, 6, 7, 1, 0, 4, 2 ]
[ 4, 6, 0, 5, 2, 7, 3, 1 ]
Test 24: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 7, 2, 3, 5, 1, 0, 4, 6 ]
[ 1, 2, 7, 3, 6, 0, 4, 5 ]
[ 7, 4, 0, 5, 2, 6, 1, 3 ]
Test 25: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 2, 1, 5, 3, 6, 0, 7, 4 ]
[ 6, 1, 2, 7, 3, 0, 4, 5 ]
[ 6, 3, 4, 2, 5, 0, 1, 7 ]
Test 26: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 0, 6, 1, 7, 3, 5, 4, 2 ]
[ 3, 4, 7, 0, 2, 5, 1, 6 ]
[ 7, 2, 5, 6, 3, 0, 4, 1 ]
Test 27: size=9
[ 0, 1, 2, 3, 4, 5, 6, 7 ]
[ 1, 0, 3, 2, 5, 4, 7, 6 ]
[ 0, 2, 3, 1, 4, 6, 7, 5 ]
[ 2, 0, 1, 3, 6, 4, 5, 7 ]
[ 0, 3, 1, 2, 4, 7, 5, 6 ]
[ 3, 0, 2, 1, 7, 4, 6, 5 ]
[ 3, 6, 7, 1, 4, 2, 5, 0 ]
